Country,Language
Afghanistan,Pashto
Albania,Albanian
Algeria,Arabic
Andorra,Catalan
Angola,Kimbundu
Antigua And Barbuda,English
Argentina,Spanish
Armenia,Armenian
Australia,English
Austria,German
Azerbaijan,Azerbaijani
Bahrain,Arabic
Bangladesh,Bengali
Barbados,English
Belarus,Belarusian
Belgium,Dutch
Belize,English
Benin,French
Bhutan,Dzongkha
Bolivia,Spanish
Bosnia And Herzegovina,Bosnia
Botswana,Tswana
Brazil,Portuguese
Brunei,Malay
Bulgaria,Bulgarian
Burkina Faso,Fula
Burundi,Kirundi
Cambodia,Khmer
Cameroon,English
Canada,English
Cape Verde,Cape Verdean Creole
Central African Republic,Sango
Chad,Arabic
Chile,Spanish
China,Mandarin
Colombia,Spanish
Comoros,Arabic
Costa Rica,Spanish
Croatia,Croatian
Cuba,Spanish
Cyprus,Greek 
Czech Republic,Czech
Democratic Republic Of The Congo,Lingala
Denmark,Danish
Djibouti,Arabic
Dominica,English
Dominican Republic,Spanish
Ecuador,Spanish
Egypt,Arabic
El Salvador,Spanish
England,English
Equatorial Guinea,Spanish
Eritrea,Tigrinya
Estonia,Estonian
Ethiopia,Amharic
Fiji,English
Finland,Finnish
France,French
Gabon,French
Gambia,English
Georgia,Georgian
Germany,German
Ghana,English
Greece,Greek
Grenada,English
Guatemala,Spanish
Guinea,Fula
Guinea-Bissau,Portuguese
Guyana,Guyanese Creole
Haiti,French
Honduras,Spanish
Hong Kong,Cantonese
Hungary,Hungarian
Iceland,Icelandic
India,Assamese
Indonesia,Indonesian
Iran,Persian
Iraq,Arabic 
Ireland,English
Israel,Hebrew
Italy,Italian
Ivory Coast,French
Jamaica,English
Japan,Japanese
Jordan,Arabic
Kazakhstan,Kazakh
Kenya,Swahili
Kiribati,Kiribati
Kosovo,Albanian
Kuwait,Arabic
Kyrgyzstan,Kyrgyz
Laos,Lao
Latvia,Latvian
Lebanon,Phoenician
Lesotho,Sotho
Liberia,English
Libya,Arabic
Liechtenstein,German
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Macau,Cantonese
Macedonia,Macedonian
Madagascar,Malagasy
Malawi,Chichewa
Malaysia,Malaysian
Maldives,Dhivehi
Mali,French
Malta,Maltese
Marshall Islands,Marshallese
Mauritania,Arabic
Mauritius,French
Mayotte,French
Mexico,Spanish
Micronesia,English
Moldova,Romanian
Monaco,French
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Arabic
Mozambique,Portuguese
Myanmar (Burma),Burmese
Nagorno-Karabakh,Armenian
Namibia,Afrikaans
Nauru,English
Nepal,Nepali
Netherlands,Dutch
Netherlands Antilles,Dutch
New Zealand,Cook Islands Maori
Nicaragua,Spanish
Niger,Arabic
Nigeria,Hausa
North Korea,Korean
Norway,Norwegian
Oman,Arabic
Pakistan,Urdu
Palau,English
Palestine,Arabic
Panama,Spanish
Papua New Guinea,English
Paraguay,Spanish
Peru,Spanish
Philippines,Filipino
Poland,Polish
Portugal,Portuguese
Qatar,Arabic
Republic Of The Congo,Lingala
Romania,Romanian
Russia,Russian
Rwanda,English
Saint Helena,English
Saint Kitts And Nevis,English
Saint Lucia,English
Saint Vincent And The Grenadines,English
Samoa,Samoan
San Marino,Italian
Sao Tome And Principe,Portuguese
Saudi Arabia,Arabic
Scotland,English
Senegal,Jola-Fogny
Serbia,Serbian
Seychelles,English
Sierra Leone,English
Singapore,English
Slovakia,Slovak
Slovenia,Slovene
Solomon Islands,English
Somalia,Somali
South Africa,Afrikaans
South Korea,Korean
South Sudan,Arabic
Spain,Spanish
Sri Lanka,Sinhala
Sudan,Arabic
Suriname,Sranan Tongo
Swaziland,English
Sweden,Swedish
Switzerland,German
Syria,Arabic
Taiwan,Formosan
Tajikistan,Tajik
Tanzania,Swahili
Thailand,Thai
The Bahamas,English
Timor-Leste,Portuguese 
Togo,French
Tonga,Tongan
Transnistria,Moldovan
Trinidad And Tobago,English
Tunisia,Arabic
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,English
Ukraine,Ukrainian
United Arab Emirates,Arabic
United Kingdom,English
United States Of America,English
Uruguay,Spanish
Uzbekistan,Uzbek
Vanuatu,Bislama
Vatican City,Italian
Venezuela,Spanish
Vietnam,Vietnamese
Wales,Welsh
Western Sahara,Arabic
Yemen,Arabic
Zambia,English
Zimbabwe,Chewa
