"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q973","","","أوبي","ওব নদী","Ob","Ob","Obi","Ob","Ομπ","ओब नदी","Ob","Sungai Ob","Ob'","オビ川","오비 강","Ob","Ob","Rio Ob","Обь","Ob","Obi Nehri","Sông Obi","鄂畢河"
"Q1497","","","نهر مسيسيبي","মিসিসিপি নদী","Mississippi","Mississippi River","Río Misisipi","Mississippi","Ποταμός Μισσισσιππής","मिसिसिप्पी नदी","Mississippi","Sungai Mississippi","Mississippi","ミシシッピ川","미시시피 강","Mississippi","Missisipi","Rio Mississippi","Миссисипи","Mississippifloden","Mississippi Nehri","Sông Mississippi","密西西比河"
"Q1653","","","دانوب","দানিউব নদী","Donau","Danube","Danubio","Danube","Δούναβης","डैन्यूब नदी","Duna","Sungai Donau","Danubio","ドナウ川","도나우 강","Donau","Dunaj","Rio Danúbio","Дунай","Donau","Tuna","Sông Donau","多瑙河"
"Q2220","","","","","Peace River","Peace River","Río de la Paz","rivière de la Paix","","","Peace-folyó","","Peace","ピース川","피스 강","Peace River","Peace","Rio Peace","Пис","Peace River","","","皮斯河"
"Q3392","","","نهر النيل","নীলনদ","Nil","Nile","Nilo","Nil","Νείλος","नील नदी","Nílus","Sungai Nil","Nilo","ナイル川","나일 강","Nijl","Nil","Rio Nilo","Нил","Nilen","Nil","Sông Nin","尼罗河"
"Q3503","","","نهر الكونغو","কঙ্গো নদী","Kongo","Congo River","río Congo","Congo","Κονγκό","कांगो नदी","Kongó","Sungai Kongo","Congo","コンゴ川","콩고 강","Kongo","Kongo","Rio Congo","Конго","Kongofloden","Kongo Nehri","Sông Congo","刚果河"
"Q3783","","","نهر الأمازون","আমাজন নদী","Amazonas","Amazon","Amazonas","Amazone","Αμαζόνιος","अमेज़न नदी","Amazonas","Sungai Amazon","Rio delle Amazzoni","アマゾン川","아마존 강","Amazone","Amazonka","Amazonas","Амазонка","Amazonfloden","Amazon Nehri","Sông Amazon","亚马逊河"
"Q5413","","","يانغتسي","ইয়াং চি কিয়াং","Jangtsekiang","Yangtze","Yangtsé","Yangzi Jiang","Γιανγκτσέ","यांग्त्सीक्यांग","Jangce","Sungai Panjang","Fiume Azzurro","長江","창 강","Jangtsekiang","Jangcy","Rio Yangtzé","Янцзы","Yangtze","Yangtze","Trường Giang","长江"
"Q41179","","","نهر ميكونغ","","Mekong","Mekong River","Mekong","Mékong","Μεκόνγκ","मीकांग नदी","Mekong","Mekong","Mekong","メコン川","메콩 강","Mekong","Mekong","Rio Mekong","Меконг","Mekong","Mekong","Mê Kông","湄公河"
"Q45403","","","نهر براهمابوترا","ব্রহ্মপুত্র নদ","Brahmaputra","Brahmaputra River","Brahmaputra","Brahmapoutre","Βραχμαπούτρας","ब्रह्मपुत्र नदी","Brahmaputra","Sungai Brahmaputra","Brahmaputra","ブラマプトラ川","브라마푸트라 강","Brahmaputra","Brahmaputra","Rio Bramaputra","Брахмапутра","Brahmaputra","Brahmaputra Nehri","Brahmaputra","布拉马普特拉河"
"Q127892","","","نهر بارانا","","Río Paraná","Paraná","Paraná","Paraná","Παρανά","पराना नदी","Paraná","Sungai Paraná","Paraná","パラナ川","파라나 강","Paraná","Parana","Rio Paraná","Парана","Paranáfloden","Paraná Nehri","Sông Paraná","巴拉那河"
"Q46841","","","نهر لينا","লেনা নদী","Lena","Lena River","Lena","Léna","Λένας ποταμός","लेना नदी","Léna","Sungai Lena","Lena","レナ川","레나 강","Lena","Lena","Rio Lena","Лена","Lena","Lena Nehri","Sông Lena","勒拿河"
