"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1016","","6201521","ليبيا","লিবিয়া","Libyen","Libya","Libia","Libye","Λιβύη","लीबिया","Líbia","Libya","Libia","リビア","리비아","Libië","Libia","Líbia","Ливия","Libyen","Libya","Libya","利比亚"
"Q1019","","22924851","مدغشقر","মাদাগাস্কার","Madagaskar","Madagascar","Madagascar","Madagascar","Μαδαγασκάρη","मेडागास्कर","Madagaszkár","Madagaskar","Madagascar","マダガスカル","마다가스카르","Madagaskar","Madagaskar","Madagáscar","Мадагаскар","Madagaskar","Madagaskar","Madagascar","马达加斯加"
"Q1020","","16362567","مالاوي","মালাউই","Malawi","Malawi","Malaui","Malawi","Μαλάουι","मलावी","Malawi","Malawi","Malawi","マラウイ","말라위","Malawi","Malawi","Malawi","Малави","Malawi","Malavi","Malawi","马拉维"
"Q1028","","33008150","المغرب","মরক্কো","Marokko","Morocco","Marruecos","Maroc","Μαρόκο","मोरक्को","Marokkó","Maroko","Marocco","モロッコ","모로코","Marokko","Maroko","Marrocos","Марокко","Marocko","Fas","Maroc","摩洛哥"
"Q1025","","3889880","موريتانيا","মৌরিতানিয়া","Mauretanien","Mauritania","Mauritania","Mauritanie","Μαυριτανία","मॉरीतानिया","Mauritánia","Mauritania","Mauritania","モーリタニア","모리타니","Mauritanië","Mauretania","Mauritânia","Мавритания","Mauretanien","Moritanya","Mauritanie","毛里塔尼亚"
"Q1029","","25833752","موزمبيق","মোজাম্বিক","Mosambik","Mozambique","Mozambique","Mozambique","Μοζαμβίκη","मोज़ाम्बीक","Mozambik","Mozambik","Mozambico","モザンビーク","모잠비크","Mozambique","Mozambik","Moçambique","Мозамбик","Moçambique","Mozambik","Mozambique","莫桑比克"
"Q1030","","2303315","ناميبيا","নামিবিয়া","Namibia","Namibia","Namibia","Namibie","Ναμίμπια","नामीबिया","Namíbia","Namibia","Namibia","ナミビア","나미비아","Namibië","Namibia","Namíbia","Намибия","Namibia","Namibya","Namibia","纳米比亚"
"Q1032","","17831270","النيجر","নাইজার","Niger","Niger","Níger","Niger","Νίγηρας","नाइजर","Niger","Niger","Niger","ニジェール","니제르","Niger","Niger","Níger","Нигер","Niger","Nijer","Niger","尼日尔"
"Q1033","","182202000","نيجيريا","নাইজেরিয়া","Nigeria","Nigeria","Nigeria","Nigeria","Νιγηρία","नाईजीरिया","Nigéria","Nigeria","Nigeria","ナイジェリア","나이지리아","Nigeria","Nigeria","Nigéria","Нигерия","Nigeria","Nijerya","Nigeria","奈及利亞"
"Q1036","","37578876","أوغندا","উগান্ডা","Uganda","Uganda","Uganda","Ouganda","Ουγκάντα","युगाण्डा","Uganda","Uganda","Uganda","ウガンダ","우간다","Oeganda","Uganda","Uganda","Уганда","Uganda","Uganda","Uganda","乌干达"
"Q1037","","11776522","رواندا","রুয়ান্ডা","Ruanda","Rwanda","Ruanda","Rwanda","Ρουάντα","रवाण्डा","Ruanda","Rwanda","Ruanda","ルワンダ","르완다","Rwanda","Rwanda","Ruanda","Руанда","Rwanda","Ruanda","Rwanda","卢旺达"
"Q1041","","14133280","السنغال","সেনেগাল","Senegal","Senegal","Senegal","Sénégal","Σενεγάλη","सेनेगल","Szenegál","Senegal","Senegal","セネガル","세네갈","Senegal","Senegal","Senegal","Сенегал","Senegal","Senegal","Sénégal","塞内加尔"
"Q1044","","6092075","سيراليون","সিয়েরা লিওন","Sierra Leone","Sierra Leone","Sierra Leona","Sierra Leone","Σιέρα Λεόνε","सिएरा लियोन","Sierra Leone","Sierra Leone","Sierra Leone","シエラレオネ","시에라리온","Sierra Leone","Sierra Leone","Serra Leoa","Сьерра-Леоне","Sierra Leone","Sierra Leone","Sierra Leone","塞拉利昂"
"Q1045","","10495583","الصومال","সোমালিয়া","Somalia","Somalia","Somalia","Somalie","Σομαλία","सोमालिया","Szomália","Somalia","Somalia","ソマリア","소말리아","Somalië","Somalia","Somália","Сомали","Somalia","Somali","Somalia","索马里"
"Q1049","","40235000","السودان","সুদান","Sudan","Sudan","Sudán","Soudan","Σουδάν","सूडान","Szudán","Sudan","Sudan","スーダン","수단","Soedan","Sudan","Sudão","Судан","Sudan","Sudan","Sudan","苏丹共和国"
"Q1050","","1249514","سوازيلاند","সোয়াজিল্যান্ড","Swasiland","Swaziland","eSwatini","Swaziland","Σουαζιλάνδη","स्वाज़ीलैण्ड","Szváziföld","Swaziland","Swaziland","スワジランド","스와질란드","Swaziland","Suazi","eSwatini","Свазиленд","Swaziland","Svaziland","Swaziland","斯威士兰"
"Q1246","","1883018","كوسوفو","কসোভো","Kosovo","Kosovo","Kosovo","Kosovo","Κοσσυφοπέδιο","कोसोवो गणराज्य","Koszovó","Kosovo","Kosovo","コソボ共和国","코소보","Kosovo","Kosowo","Kosovo","Республика Косово","Kosovo","Kosova","Kosovo","科索沃"
"Q6250","","586000","الصحراء الغربية","পশ্চিম সাহারা","Westsahara","Western Sahara","Sahara Occidental","Sahara occidental","Δυτική Σαχάρα","पश्चिमी सहारा","Nyugat-Szahara","Sahara Barat","Sahara Occidentale","西サハラ","서사하라","Westelijke Sahara","Sahara Zachodnia","Saara Ocidental","Западная Сахара","Västsahara","Batı Sahra","Tây Sahara","西撒哈拉"
