"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1062","","","بحيرة أونتاريو","","Ontariosee","Lake Ontario","Ontario","lac Ontario","Λίμνη Οντάριο","ओण्टारियो झील","Ontario-tó","Danau Ontario","lago Ontario","オンタリオ湖","온타리오 호","Ontariomeer","Ontario","Lago Ontário","Онтарио","Ontariosjön","Ontario Gölü","Hồ Ontario","安大略湖"
"Q1066","","","بحيرة سوبيريور","সুপিরিয়র হ্রদ","Oberer See","Lake Superior","Lago Superior","lac Supérieur","λίμνη Σουπίριορ","सुपीरियर झील","Felső-tó","Danau Superior","lago Superiore","スペリオル湖","슈피리어 호","Bovenmeer","Jezioro Górne","Lago Superior","Верхнее","Övre sjön","Superior Gölü","Hồ Thượng","苏必利尔湖"
"Q1169","","","بحيرة ميشيغين","মিশিগান হ্রদ","Michigansee","Lake Michigan","Lago Míchigan","lac Michigan","Λίμνη Μίσιγκαν","मिशिगन झील","Michigan-tó","Danau Michigan","lago Michigan","ミシガン湖","미시간 호","Michiganmeer","Michigan","Lago Michigan","Мичиган","Michigansjön","Michigan Gölü","Hồ Michigan","密歇根湖"
"Q1383","","","بحيرة هرون","","Huronsee","Lake Huron","lago Hurón","lac Huron","Λίμνη Χιούρον","ह्यूरॉन झील","Huron-tó","Danau Huron","lago Huron","ヒューロン湖","휴런 호","Huronmeer","Huron","Lago Huron","Гурон","Huronsjön","Huron Gölü","Hồ Huron","休伦湖"
"Q3272","","","بحيرة وينيبيغ","","Winnipegsee","Lake Winnipeg","Lago Winnipeg","lac Winnipeg","Λίμνη Γουίνιπεγκ","","Winnipeg-tó","Danau Winnipeg","Winnipeg","ウィニペグ湖","위니펙 호","Winnipegmeer","Winnipeg","Lago Winnipeg","Виннипег","Winnipegsjön","Winnipeg Gölü","Hồ Winnipeg","溫尼伯湖"
"Q5492","","","بحيرة إري","","Eriesee","Lake Erie","Erie","lac Érié","Λίμνη Ήρι","ईरी झील","Erie-tó","Danau Erie","lago Erie","エリー湖","이리 호","Eriemeer","Erie","Lago Erie","Эри","Eriesjön","Erie Gölü","Hồ Erie","伊利湖"
"Q5505","","","بحيرة فيكتوريا","ভিক্টোরিয়া হ্রদ","Victoriasee","Lake Victoria","Victoria","lac Victoria","Βικτόρια","विक्टोरिया झील","Viktória-tó","Danau Victoria","lago Vittoria","ヴィクトリア湖","빅토리아 호","Victoriameer","Jezioro Wiktorii","Lago Vitória","Виктория","Victoriasjön","Victoria Gölü","Hồ Victoria","維多利亞湖"
"Q5511","","","بحيرة تنجانيقا","টাংগানিকা হ্রদ","Tanganjikasee","Lake Tanganyika","lago Tanganica","lac Tanganyika","Τανγκανίκα","तांगान्यीका झील","Tanganyika-tó","Danau Tanganyika","lago Tanganica","タンガニーカ湖","탕가니카 호","Tanganyikameer","Tanganika","Lago Tanganica","Танганьика","Tanganyikasjön","Tanganika Gölü","Hồ Tanganyika","坦干依喀湖"
"Q5525","","","بحيرة الدب العظيم","","Großer Bärensee","Great Bear Lake","Gran Lago del Oso","Grand lac de l'Ours","Μεγάλη Λίμνη των Άρκτων","","Nagy-Medve-tó","","Grande Lago degli Orsi","グレートベア湖","그레이트베어 호","Great Bear Lake","Wielkie Jezioro Niedźwiedzie","Grande Lago do Urso","Большое Медвежье озеро","Stora Björnsjön","Büyük Ayı Gölü","Hồ Gấu lớn","大熊湖"
"Q5513","","","بحيرة بايكال","বৈকাল হ্রদ","Baikalsee","Lake Baikal","Baikal","lac Baïkal","Βαϊκάλη","बयकाल झील","Bajkál-tó","Danau Baikal","lago Bajkal","バイカル湖","바이칼 호","Baikalmeer","Bajkał","Lago Baikal","Байкал","Bajkalsjön","Baykal Gölü","Hồ Baikal","贝加尔湖"
